51° 23.34818143529901,6° 48.437320028587365
51° 23.348110145255276,6° 48.43756669459174
51° 23.348038586657083,6° 48.43781316081815
51° 23.347966760951806,6° 48.4380594223094
51° 23.347894665904647,6° 48.4383054867279
51° 23.34782230295957,6° 48.43855134911653
51° 23.347749672336562,6° 48.43879700872422
51° 23.347676775504738,6° 48.43904246061675
51° 23.347603610196472,6° 48.439287712425894
51° 23.34753017787662,6° 48.43953275921143
51° 23.347456478770283,6° 48.439777600229874
51° 23.347382514365336,6° 48.44002223055611
51° 23.347308282362604,6° 48.44026665780213
51° 23.347233784247834,6° 48.44051087704295
51° 23.347159020248682,6° 48.44075488753509
51° 23.347083991876048,6° 48.44099868437327
51° 23.347008696797076,6° 48.44124227514211
51° 23.346933136518828,6° 48.44148565493331
51° 23.346857311272373,6° 48.4417288230064
51° 23.3467812225895,6° 48.44197177447457
51° 23.346704868103245,6° 48.442214516891724
51° 23.346628249344974,6° 48.44245704537105
51° 23.34655136654618,6° 48.442699359173616
51° 23.346474221261673,6° 48.442941453426315
51° 23.346396811091665,6° 48.44318333566173
51° 23.34631913758713,6° 48.44342500100824
51° 23.346241200984252,6° 48.443666448726916
51° 23.346163002858304,6° 48.44390767396611
51° 23.3460845407771,6° 48.44414868422927
51° 23.3460058163125,6° 48.44438947466166
51° 23.34592682970367,6° 48.444630044530484
51° 23.345847582548913,6° 48.4448703889977
51° 23.345768072381077,6° 48.44511051554099
51° 23.345688300793768,6° 48.4453504193238
51° 23.345608268030418,6° 48.445590099614876
51° 23.34552797570808,6° 48.445829551596056
51° 23.345447421328913,6° 48.44606878271598
51° 23.34536660650741,6° 48.44630778815494
51° 23.34528553149042,6° 48.44654656718626
51° 23.34520419791417,6° 48.44678511500851
51° 23.34512260325056,6° 48.44702343904443
51° 23.34504074913454,6° 48.44726153449109
51° 23.344958635814237,6° 48.44749940062327
51° 23.344876263542034,6° 48.447737036715885
51° 23.344793632566052,6° 48.4479744420468
51° 23.344710743140382,6° 48.44821161589083
51° 23.344627598360574,6° 48.44844854943908
51° 23.344544192800356,6° 48.44868525815219
51° 23.34446052955016,6° 48.44892173321513
51° 23.34437660886323,6° 48.44915797390428
51° 23.344292430997058,6° 48.449393979503554
51° 23.344207996206592,6° 48.44962974929098
51° 23.344123304750184,6° 48.449865282550434
51° 23.344038356885335,6° 48.450100578562925
51° 23.34395315578476,6° 48.450335628588235
51° 23.343867695888747,6° 48.45057044796636
51° 23.34378198036319,6° 48.45080502795103
51° 23.343696009469,6° 48.45103936782461
51° 23.343609783468366,6° 48.4512734668758
51° 23.343523302623908,6° 48.4515073243916
